,S,E,I,R,country,date,CountryCode,S1_School closing,S1_IsGeneral,S1_Notes,S2_Workplace closing,S2_IsGeneral,S2_Notes,S3_Cancel public events,S3_IsGeneral,S3_Notes,S4_Close public transport,S4_IsGeneral,S4_Notes,S5_Public information campaigns,S5_IsGeneral,S5_Notes,S6_Restrictions on internal movement,S6_IsGeneral,S6_Notes,S7_International travel controls,S7_Notes,S8_Fiscal measures,S8_Notes,S9_Monetary measures,S9_Notes,S10_Emergency investment in health care,S10_Notes,S11_Investment in Vaccines,S11_Notes,ConfirmedCases,ConfirmedDeaths,StringencyIndex,Unnamed: 34
0,60461826,0.0,0.0,0.0,italy,2020-02-10,ITA,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,3.0,,,,,,,,,,3.0,0.0,14.0,	
1,60461826,0.0,0.0,0.0,italy,2020-02-11,ITA,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,3.0,,,,,,,,,,3.0,0.0,14.0,	
2,60461826,0.0,0.0,0.0,italy,2020-02-12,ITA,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,3.0,,,,,,,,,,3.0,0.0,14.0,	
3,60461826,0.0,0.0,0.0,italy,2020-02-13,ITA,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,3.0,,,,,,,,,,3.0,0.0,14.0,	
4,60461826,0.0,0.0,0.0,italy,2020-02-14,ITA,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,3.0,,,,,,,,,,3.0,0.0,14.0,	
5,60461826,0.0,0.0,0.0,italy,2020-02-15,ITA,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,3.0,,,,,,,,,,3.0,0.0,14.0,	
6,60461826,0.0,0.0,0.0,italy,2020-02-16,ITA,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,3.0,,,,,,,,,,3.0,0.0,14.0,	
7,60461826,0.0,0.0,0.0,italy,2020-02-17,ITA,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,3.0,,,,,,,,,,3.0,0.0,14.0,	
8,60461826,0.0,0.0,0.0,italy,2020-02-18,ITA,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,3.0,,,,,,,,,,3.0,0.0,14.0,	
9,60461826,0.0,0.0,0.0,italy,2020-02-19,ITA,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,3.0,,,,,,,,,,3.0,0.0,14.0,	
10,60461826,0.0,0.0,0.0,italy,2020-02-20,ITA,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,3.0,,,,,,,,,,3.0,0.0,14.0,	
11,60461826,0.0,0.0,2.0,italy,2020-02-21,ITA,0.0,,,0.0,,,0.0,,,0.0,,,,,,2.0,0.0,"'Istituzione della zona rossa nei seguenti comuni: Codogno, Castiglione d’Adda, Casalpusterlengo, Fombio, Maleo, Somaglia, Bertonico, Terranova dei Passerini, Castelgerundo e San Fiorano in provincia di Lodi; Vò Euganea in provincia di Padova.?
Non è consentito l'ingresso nè l'uscita di persone da questi comuni.'     https://www.nextquotidiano.it/coronavirus-dove-sono-i-venti-contagiati-in-italia/",3.0,,,,,,,,,,3.0,0.0,24.0,	
12,60461826,0.0,0.0,4.0,italy,2020-02-22,ITA,0.0,,,0.0,,,0.0,,,0.0,,,,,,2.0,0.0,,3.0,,,,,,,,,,17.0,0.0,24.0,	
13,60461826,0.0,0.0,5.0,italy,2020-02-23,ITA,2.0,0.0,https://www.wired.co.uk/article/coronavirus-italy,0.0,,,0.0,,,0.0,,,,,,2.0,0.0,,3.0,,,,,,,,,,79.0,2.0,33.0,	
14,60461826,0.0,0.0,8.0,italy,2020-02-24,ITA,2.0,0.0,,0.0,,,0.0,,,0.0,,,,,,2.0,0.0,,3.0,,,,,,,,,,132.0,2.0,33.0,	
15,60461826,0.0,0.0,13.0,italy,2020-02-25,ITA,2.0,0.0,,0.0,,,0.0,,,0.0,,,,,,2.0,0.0,,3.0,,,,,,,,,,229.0,6.0,33.0,	
16,60461826,0.0,0.0,15.0,italy,2020-02-26,ITA,2.0,0.0,,0.0,,,0.0,,,0.0,,,,,,2.0,0.0,,3.0,,,,,,,,,,322.0,11.0,33.0,	
17,60461826,0.0,0.0,62.0,italy,2020-02-27,ITA,2.0,0.0,,0.0,,,0.0,,,0.0,,,,,,2.0,0.0,,3.0,,,,,,,,,,400.0,12.0,33.0,	
