,country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,activecases,serious_critical,tot_cases/1m_pop,deaths/1m_pop,reported1st_case,ref,date,totaltests,tests/_1m_pop,region,tot_deaths/1m_pop,population,CountryCode,S1_School closing,S1_IsGeneral,S1_Notes,S2_Workplace closing,S2_IsGeneral,S2_Notes,S3_Cancel public events,S3_IsGeneral,S3_Notes,S4_Close public transport,S4_IsGeneral,S4_Notes,S5_Public information campaigns,S5_IsGeneral,S5_Notes,S6_Restrictions on internal movement,S6_IsGeneral,S6_Notes,S7_International travel controls,S7_Notes,S8_Fiscal measures,S8_Notes,S9_Monetary measures,S9_Notes,S10_Emergency investment in health care,S10_Notes,S11_Investment in Vaccines,S11_Notes,ConfirmedCases,ConfirmedDeaths,StringencyIndex,Unnamed: 34
0,germany,14.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,2020-02-10,0.0,0.0,Europe,0.0,83783942,DEU,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,1.0,1.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,13.0,0.0,14.0,	
1,germany,16.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0,https://web.archive.org/web/20200211/https://www.worldometers.info/coronavirus/,2020-02-11,0.0,0.0,Europe,0.0,83783942,DEU,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,1.0,1.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,13.0,0.0,14.0,	
2,germany,16.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,2020-02-12,0.0,0.0,Europe,0.0,83783942,DEU,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,1.0,1.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,15.0,0.0,14.0,	
3,germany,16.0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,https://web.archive.org/web/20200213/https://www.worldometers.info/coronavirus/,2020-02-13,0.0,0.0,Europe,0.0,83783942,DEU,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,1.0,1.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,15.0,0.0,14.0,	
4,germany,16.0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,2020-02-14,0.0,0.0,Europe,0.0,83783942,DEU,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,1.0,1.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,15.0,0.0,14.0,	
5,germany,16.0,0,0.0,0,3.0,0.0,0.0,0.0,0.0,0,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,2020-02-15,0.0,0.0,Europe,0.0,83783942,DEU,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,1.0,1.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,15.0,0.0,14.0,	
6,germany,16.0,0,0.0,0,3.0,0.0,0.0,0.0,0.0,0,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,2020-02-16,0.0,0.0,Europe,0.0,83783942,DEU,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,1.0,1.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,15.0,0.0,14.0,	
7,germany,16.0,0,0.0,0,7.0,0.0,0.0,0.0,0.0,0,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,2020-02-17,0.0,0.0,Europe,0.0,83783942,DEU,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,1.0,1.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,15.0,0.0,14.0,	
8,germany,16.0,0,0.0,0,9.0,0.0,0.0,0.0,0.0,0,https://web.archive.org/web/20200218/https://www.worldometers.info/coronavirus/,2020-02-18,0.0,0.0,Europe,0.0,83783942,DEU,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,1.0,1.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,15.0,0.0,14.0,	
9,germany,16.0,0,0.0,0,9.0,0.0,0.0,0.0,0.0,0,https://web.archive.org/web/20200219/https://www.worldometers.info/coronavirus/,2020-02-19,0.0,0.0,Europe,0.0,83783942,DEU,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,1.0,1.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,15.0,0.0,14.0,	
10,germany,16.0,0,0.0,0,13.0,0.0,0.0,0.0,0.0,0,https://web.archive.org/web/20200220/https://www.worldometers.info/coronavirus/,2020-02-20,0.0,0.0,Europe,0.0,83783942,DEU,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,1.0,1.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,15.0,0.0,14.0,	
11,germany,16.0,0,0.0,0,14.0,0.0,0.0,0.0,0.0,0,https://web.archive.org/web/20200221/https://www.worldometers.info/coronavirus/,2020-02-21,0.0,0.0,Europe,0.0,83783942,DEU,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,1.0,1.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,15.0,0.0,14.0,	
12,germany,16.0,0,0.0,0,14.0,0.0,0.0,0.0,0.0,0,https://web.archive.org/web/20200222/https://www.worldometers.info/coronavirus/,2020-02-22,0.0,0.0,Europe,0.0,83783942,DEU,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,1.0,1.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,15.0,0.0,14.0,	
13,germany,16.0,0,0.0,0,14.0,0.0,0.0,0.0,0.0,0,https://web.archive.org/web/20200223/https://www.worldometers.info/coronavirus/,2020-02-23,0.0,0.0,Europe,0.0,83783942,DEU,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,1.0,1.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,15.0,0.0,14.0,	
14,germany,16.0,0,0.0,0,14.0,0.0,0.0,0.0,0.0,0,https://web.archive.org/web/20200224/https://www.worldometers.info/coronavirus/,2020-02-24,0.0,0.0,Europe,0.0,83783942,DEU,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,1.0,1.0,Health minister informs public about Coronavirus preparations; https://www.tagesschau.de/inland/coronavirus-italien-deutschland-101.html,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,15.0,0.0,14.0,	
15,germany,18.0,0,0.0,0,15.0,0.0,1.0,0.0,0.0,0,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25,0.0,0.0,Europe,0.0,83783942,DEU,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,1.0,1.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,15.0,0.0,14.0,	
16,germany,27.0,0,0.0,0,15.0,0.0,2.0,0.0,0.0,0,https://web.archive.org/web/20200226/https://www.worldometers.info/coronavirus/,2020-02-26,0.0,0.0,Europe,0.0,83783942,DEU,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,1.0,1.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,17.0,0.0,14.0,	
17,germany,48.0,0,0.0,0,16.0,0.0,2.0,0.0,0.0,0,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27,0.0,0.0,Europe,0.0,83783942,DEU,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,1.0,1.0,Robert-Koch-Institut (German federal government agency and research institute) warns that Germany must act to flatten the curve; https://www.tagesschau.de/inland/coronavirus-deutschland-135.html,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,21.0,0.0,14.0,	
18,germany,60.0,0,0.0,0,16.0,44.0,2.0,0.0,0.0,0,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28,0.0,0.0,0,0.0,83783942,DEU,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,1.0,1.0,German government expects long-lasting pandemic; https://www.tagesschau.de/inland/coronavirus-deutschland-experten-101.html,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,47.0,0.0,14.0,	
19,germany,79.0,0,0.0,0,16.0,63.0,2.0,0.0,0.0,0,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29,0.0,0.0,0,0.0,83783942,DEU,0.0,0.0,,0.0,0.0,,1.0,1.0,Federal coronavirus response committee recommends cancelling public events; https://www.tagesschau.de/inland/coronavirus-itb-messe-absage-103.html,0.0,,,1.0,1.0,,0.0,0.0,,1.0,"Germany screens travellers from China, South Korea, Japan, Italy, Iran; https://www.tagesschau.de/inland/coronavirus-deutschland-infektionen-101.html",0.0,,0.0,,0.0,,0.0,,57.0,0.0,29.0,	
20,germany,130.0,0,0.0,0,16.0,114.0,2.0,0.0,0.0,0,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01,0.0,0.0,0,0.0,83783942,DEU,0.0,0.0,,0.0,0.0,,1.0,1.0,,0.0,,,1.0,1.0,,0.0,0.0,,1.0,,0.0,,0.0,,0.0,,0.0,,111.0,0.0,29.0,	
21,germany,165.0,0,0.0,0,16.0,149.0,2.0,0.0,0.0,0,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02,0.0,0.0,0,0.0,83783942,DEU,0.0,0.0,,0.0,0.0,,1.0,1.0,,0.0,,,1.0,1.0,,0.0,0.0,,1.0,,0.0,,0.0,,0.0,,0.0,,129.0,0.0,29.0,	
22,germany,196.0,0,0.0,0,16.0,180.0,2.0,0.0,0.0,0,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03,0.0,0.0,0,0.0,83783942,DEU,0.0,0.0,,0.0,0.0,,1.0,1.0,,0.0,,,1.0,1.0,,0.0,0.0,,1.0,,0.0,,0.0,,0.0,,0.0,,157.0,0.0,29.0,	
23,germany,262.0,0,0.0,0,16.0,246.0,2.0,0.0,0.0,0,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04,0.0,0.0,0,0.0,83783942,DEU,0.0,0.0,,0.0,0.0,,1.0,1.0,,0.0,,,1.0,1.0,Germany warns to not overburden GPs; https://www.tagesschau.de/inland/corona-deutschland-107.html,0.0,0.0,,1.0,,0.0,,0.0,,0.0,,0.0,,196.0,0.0,29.0,	
24,germany,545.0,0,0.0,0,17.0,528.0,2.0,0.0,0.0,0,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05,0.0,0.0,0,0.0,83783942,DEU,0.0,0.0,,0.0,0.0,,1.0,1.0,,0.0,,,1.0,1.0,,0.0,0.0,,1.0,,0.0,,0.0,,0.0,,0.0,,262.0,0.0,29.0,	
25,germany,670.0,125,0.0,0,17.0,653.0,8.0,0.0,0.0,0,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06,0.0,0.0,0,0.0,83783942,DEU,0.0,0.0,,0.0,0.0,,1.0,1.0,,0.0,,,1.0,1.0,,0.0,0.0,,1.0,,0.0,,0.0,,0.0,,0.0,,400.0,0.0,29.0,	
26,germany,800.0,130,0.0,0,18.0,782.0,9.0,9.5,0.0,0,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07,0.0,0.0,0,0.0,83783942,DEU,0.0,0.0,,0.0,0.0,,1.0,1.0,,0.0,,,1.0,1.0,,0.0,0.0,,1.0,,0.0,,0.0,,0.0,,0.0,,684.0,0.0,29.0,	
